study,trial,value,best_so_far
ABC-embedded-hierarchical_paper_s0_s10,0,0.4138253807771269,0.4138253807771269
ABC-embedded-hierarchical_paper_s0_s10,1,0.5009050244130002,0.5009050244130002
ABC-embedded-hierarchical_paper_s0_s10,2,0.44501095944888913,0.5009050244130002
ABC-embedded-hierarchical_paper_s0_s10,3,0.5907688880963531,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,4,0.41692927848805666,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,5,0.4227396032938004,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,6,0.572957493228362,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,7,0.4227964399953646,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,8,0.24674285812679664,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,9,0.44693620565260994,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,10,0.03933314615621382,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,11,0.5232513002136816,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,12,0.5663456344881147,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,13,0.4174572952970558,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,14,0.5723947814386107,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,15,0.4204830076954173,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,16,0.5797989498200755,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,17,0.5789536211435328,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,18,0.42178157520559323,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,19,0.4449296839111034,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,20,0.416655349298305,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,21,0.5537744129812545,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,22,0.5891642100903952,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,23,0.5853181039889513,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,24,0.5861473019770451,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,25,0.4804903669668198,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,26,0.4149507815344859,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,27,0.5463608727801099,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,28,0.4242313528647905,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,29,0.28691441164314463,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,30,0.4283463705076732,0.5907688880963531
ABC-embedded-hierarchical_paper_s0_s10,31,0.5900929519717691,0.5907688880963531
ABC-embedded-tied_paper_s0_s10,0,0.19723179621177309,0.19723179621177309
ABC-embedded-tied_paper_s0_s10,1,0.42504443234123424,0.42504443234123424
ABC-embedded-tied_paper_s0_s10,2,0.5514339405443831,0.5514339405443831
ABC-embedded-tied_paper_s0_s10,3,0.6619317274605739,0.6619317274605739
ABC-embedded-tied_paper_s0_s10,4,0.42247461162669453,0.6619317274605739
ABC-embedded-tied_paper_s0_s10,5,0.18610966869786127,0.6619317274605739
ABC-embedded-tied_paper_s0_s10,6,0.5705258249346005,0.6619317274605739
ABC-embedded-tied_paper_s0_s10,7,0.5650911734604828,0.6619317274605739
ABC-embedded-tied_paper_s0_s10,8,0.42520816392406025,0.6619317274605739
ABC-embedded-tied_paper_s0_s10,9,0.4241204505676577,0.6619317274605739
ABC-embedded-tied_paper_s0_s10,10,0.43031241766559547,0.6619317274605739
