set,n,n_seeds_requested,omega05_beats_10_mean,ci_excludes_zero,p_wilcoxon,cohen_dz,mean_diff_10_minus_05,ci95_lo_10_minus_05,ci95_hi_10_minus_05,wins_omega05_better,wins_omega10_better,mean_mse150_omega05,mean_mse150_omega10,description,median_mse150_omega05,median_mse150_omega10,p_ttest
(i) all_seeds,100,100,True,True,3.536288390303153e-17,1.9019774402429346,0.028187945380384133,0.025218227626368783,0.03106747224885554,94.0,6.0,0.029728253482965327,0.05791619886334948,todas as seeds (número original),0.0269891818241714,0.0574923961010329,7.883292620770381e-35
(ii) omega05_tf_passed,56,56,True,True,8.41217830100673e-11,2.298442172970725,0.028761289503771388,0.025493290366055302,0.032012081238548845,55.0,1.0,0.027988009178326067,0.05674929868209745,seeds onde omega=0.5 passou teacher-forced,0.02543040955821825,0.05668824760168785,8.608323137745854e-24
(iii) oor_lt_0.5_both_arms,100,100,True,True,3.536288390303153e-17,1.9019774402429346,0.028187945380384133,0.025218227626368783,0.03106747224885554,94.0,6.0,0.029728253482965327,0.05791619886334948,out_of_range_fraction<0.5 em ambos os braços (M4),0.0269891818241714,0.0574923961010329,7.883292620770381e-35
(aux) both_arms_tf_passed,0,0,,,,,,,,,,,,gate estrito A1: tf-ok em ambos os braços,,,
