seed,r2_teacher_forced,nrmse_teacher_forced,teacher_forced_ok,mse_150,nrmse_150,r2_150,mse_1000,nrmse_1000,r2_1000,valid_prediction_time,valid_threshold,diverged,out_of_range_fraction,grid_clamps,model,series,n_aux,device,seconds
0,0.9960810693819232,0.06260136274935904,True,3.315137414881806,7.456760355932596,-54.60327500580802,4.572883559363964,8.457937493369899,-70.53670664175229,6,0.1,True,0.784,0,M0-noaux,MG_standard,0,cpu,2.7386231422424316
0,0.9790009589039582,0.14491045889114348,False,0.30366885698601315,2.256833635994368,-4.0932980605555604,0.44052783993135997,2.625161821691678,-5.8914745900675705,8,0.1,False,0.534,0,AB-noaux-kraus,MG_standard,0,cpu,4.333119869232178
0,0.968671596217539,0.1769983157616509,False,0.04172651368359132,0.8365761299446249,0.30014037880687394,0.164792078703053,1.6056007627172308,-1.5779538092381538,1,0.1,False,0.152,0,ABC-noaux-kraus,MG_standard,0,cpu,5.755282640457153
0,0.9993890404361025,0.024717596240278878,True,0.020245415560344173,0.5827238136282178,0.660432957030586,0.12793552133000788,1.4147020126233383,-1.001381784520524,44,0.1,False,0.009,0,ABC-noaux-tied,MG_standard,0,cpu,5.801877975463867
0,0.968671596217539,0.1769983157616509,False,0.04172651368359132,0.8365761299446249,0.30014037880687394,0.164792078703053,1.6056007627172308,-1.5779538092381538,1,0.1,False,0.152,0,ABC-noaux-hierarchical,MG_standard,0,cpu,5.780307292938232
0,0.8969219553764965,0.3210576967205481,False,0.0927262431341673,1.2470984825073395,-0.5552546250721087,0.1166642183282382,1.3509467708071026,-0.825057177554138,4,0.1,False,0.043,0,ABC-noaux-shuffled-history,MG_standard,0,cpu,3.209547996520996
1,0.9976976367790472,0.047982947189109074,True,0.1363159945942401,1.512073237797085,-1.2863654764621595,0.7619620889633222,3.452519034898276,-10.919887686334924,15,0.1,True,0.453,0,M0-noaux,MG_standard,0,cpu,2.8002727031707764
1,0.9773734951091985,0.1504210919080217,False,0.2933281848564651,2.2180754548245627,-3.9198587232951914,0.5241248673737309,2.8634313965408515,-7.1992393626958915,4,0.1,False,0.574,0,AB-noaux-kraus,MG_standard,0,cpu,4.079735994338989
1,0.9585442885915693,0.20360675678481496,False,0.4733357868451078,2.8176308193025466,-6.9390434338835405,0.9702218551868873,3.895874214500261,-14.177835895208027,1,0.1,False,0.894,0,ABC-noaux-kraus,MG_standard,0,cpu,5.322210073471069
1,0.9995887318262555,0.02027974787181651,True,0.02911020577805322,0.6987503787330416,0.5117479082204309,0.04988522759138916,0.8833958989083884,0.21961168579184032,42,0.1,False,0.005,0,ABC-noaux-tied,MG_standard,0,cpu,5.7377448081970215
1,0.9585442885915693,0.20360675678481496,False,0.4733357868451078,2.8176308193025466,-6.9390434338835405,0.9702218551868873,3.895874214500261,-14.177835895208027,1,0.1,False,0.894,0,ABC-noaux-hierarchical,MG_standard,0,cpu,5.263273000717163
1,0.9059730178294956,0.30663819424609257,False,0.15700023417009784,1.6227423433186154,-1.6332927127991912,0.14438503430413063,1.5029014033274257,-1.2587126281235457,1,0.1,False,0.037,0,ABC-noaux-shuffled-history,MG_standard,0,cpu,3.104585647583008
2,0.9969131158417271,0.05555973504502065,True,7.886470753092895,11.501136744899377,-131.27614642487464,4.761552639276819,8.630653770749904,-73.48818451055952,11,0.1,True,0.744,0,M0-noaux,MG_standard,0,cpu,2.6748156547546387
2,0.97908231484911,0.1446294753875917,False,0.297384937432165,2.2333608683495054,-3.987900768274857,0.4873870513089783,2.761254223804332,-6.624524888477265,8,0.1,False,0.598,0,AB-noaux-kraus,MG_standard,0,cpu,4.26530909538269
2,0.9591059037408767,0.2022228875748818,False,0.05015760941187985,0.917207998121151,0.1587294881825907,2.2544296204639984,5.938650140312794,-34.26756548903717,1,0.1,False,0.851,0,ABC-noaux-kraus,MG_standard,0,cpu,5.316486835479736
