seed,omega,nonmarkovianity,mean_trace_distance,max_trace_distance,final_trace_distance,steps,seconds
0,1.0,5.648329841845268e-06,0.001659148638274084,0.953395664691925,1.1761849272318159e-08,1000,8.719730854034424
0,0.5,5.6811303528192525e-06,0.0031750499571385725,0.9533957242965698,3.4849954033688846e-08,1000,7.731110334396362
0,0.0,0.019557771332101126,0.019450366154045006,0.9533955454826355,3.0968923425689354e-08,1000,4.652347087860107
1,1.0,5.592552301036946e-06,0.0016660541315327378,0.9406975507736206,2.5090656663451227e-08,1000,8.266654968261719
1,0.5,5.991403010829899e-06,0.003073691868546767,0.940697431564331,3.4469682219651077e-08,1000,8.365565538406372
1,0.0,0.17232143966865365,0.023668246091089,0.9406975507736206,5.361479793464241e-08,1000,4.373660087585449
2,1.0,5.339879734611586e-06,0.0016434462485525262,0.9155817031860352,4.684556031975262e-08,1000,11.72638750076294
2,0.5,5.632745548656004e-06,0.0033126287081996024,0.9155815839767456,4.1592503663423486e-08,1000,8.11729645729065
2,0.0,0.20518655408265474,0.029179236019981937,0.9155817031860352,4.9554500947124325e-08,1000,3.5252978801727295
3,1.0,5.502373137344918e-06,0.001746398746110705,0.9391300678253174,1.413376793379939e-08,1000,8.498215913772583
3,0.5,5.931973105166577e-06,0.0032033838553900073,0.9391300678253174,2.380195773810101e-08,1000,9.859717607498169
3,0.0,0.31821423838775686,0.022480429183923362,0.9391301870346069,5.2078480194950316e-08,1000,3.6984667778015137
4,1.0,5.799181133525622e-06,0.0016992853056401174,0.9571515321731567,1.4659105040948361e-08,1000,9.50591492652893
4,0.5,6.2673501002308285e-06,0.0032522799717760766,0.9571517109870911,4.701984579469354e-09,1000,7.4823691844940186
4,0.0,0.11060093053021802,0.025725292104558272,0.9571514129638672,5.3260791332832014e-08,1000,3.6293487548828125
5,1.0,5.567795591021607e-06,0.001685676386205373,0.935379147529602,7.188929007639899e-09,1000,7.65403151512146
5,0.5,5.800293676916368e-06,0.003326660656630857,0.9353792667388916,2.436683210760293e-08,1000,6.799637079238892
5,0.0,0.2864768204740997,0.02603899037798281,0.935379147529602,5.38905098323994e-08,1000,2.9645371437072754
6,1.0,5.859245011619052e-06,0.0016276074583652124,0.8678876757621765,1.772925806164949e-08,1000,9.649764776229858
6,0.5,5.7408023006466635e-06,0.003239748390919942,0.8678877353668213,1.7264175866671394e-08,1000,21.574472665786743
6,0.0,1.2965137142385785,0.03631337155431585,0.9081649780273438,8.457763556179998e-08,1000,9.224023818969727
7,1.0,6.133092592230938e-06,0.0017916013397158805,0.9716178178787231,2.5428434469176864e-08,1000,13.992364168167114
7,0.5,5.952585092172669e-06,0.0036610710161888507,0.9716176986694336,2.1512956749347723e-08,1000,13.882035732269287
7,0.0,0.257882501878683,0.03222950005225155,0.9716177582740784,6.512377836997985e-08,1000,6.312074899673462
8,1.0,5.899102780926313e-06,0.0016474263858930658,0.9456074237823486,2.3092130874147188e-08,1000,14.188421726226807
8,0.5,6.1504988870808575e-06,0.0032109718426846087,0.9456073045730591,1.3001517196187251e-08,1000,18.842284679412842
8,0.0,0.31906755893760774,0.03002944753296666,0.9456073045730591,4.8341330938228566e-08,1000,5.401336908340454
9,1.0,5.5837150731985474e-06,0.0016124073935163874,0.931004524230957,4.289762145504028e-08,1000,11.315966844558716
9,0.5,5.794268392644852e-06,0.0031482644590013287,0.931004524230957,3.041961349481426e-08,1000,12.910308837890625
9,0.0,0.28313125621717816,0.028393189777529363,0.931004524230957,6.096848892411799e-08,1000,3.677856206893921
10,1.0,5.4626544121472165e-06,0.0015154822281859518,0.8899670243263245,1.4034231554660437e-08,1000,12.705254316329956
