architecture,task,trial,value,state,omega_b,omega_c,eta_ab,eta_bc,omega,eta,eta_ac
ABC-embedded-hierarchical,paper_s0_s10,0,0.4138253807771269,TrialState.COMPLETE,0.3745401188473625,0.9507143064099162,1.1266140008523318,0.9305046995616021,,,
ABC-embedded-hierarchical,paper_s0_s10,1,0.5009050244130002,TrialState.COMPLETE,0.15601864044243652,0.15599452033620265,0.1354291634239671,1.3239686935631354,,,
ABC-embedded-hierarchical,paper_s0_s10,2,0.44501095944888913,TrialState.COMPLETE,0.6011150117432088,0.7080725777960455,0.08027559859919674,1.4765398478820424,,,
ABC-embedded-hierarchical,paper_s0_s10,3,0.5907688880963531,TrialState.COMPLETE,0.8324426408004217,0.21233911067827616,0.3174274938878061,0.31975067941004887,,,
ABC-embedded-hierarchical,paper_s0_s10,4,0.41692927848805666,TrialState.COMPLETE,0.3042422429595377,0.5247564316322378,0.685303146796177,0.478338749658916,,,
ABC-embedded-hierarchical,paper_s0_s10,5,0.4227396032938004,TrialState.COMPLETE,0.6118528947223795,0.13949386065204183,0.4796852759583849,0.5888436533941692,,,
ABC-embedded-hierarchical,paper_s0_s10,6,0.572957493228362,TrialState.COMPLETE,0.45606998421703593,0.7851759613930136,0.34367946535575983,0.8063341231301764,,,
ABC-embedded-hierarchical,paper_s0_s10,7,0.4227964399953646,TrialState.COMPLETE,0.5924145688620425,0.046450412719997725,0.943574736539785,0.300806254749187,,,
ABC-embedded-hierarchical,paper_s0_s10,8,0.24674285812679664,TrialState.COMPLETE,0.06505159298527952,0.9488855372533332,1.47024804728155,1.2389878502004263,,,
ABC-embedded-hierarchical,paper_s0_s10,9,0.44693620565260994,TrialState.COMPLETE,0.3046137691733707,0.09767211400638387,1.0563674220658354,0.6973746710218193,,,
ABC-embedded-hierarchical,paper_s0_s10,10,0.03933314615621382,TrialState.COMPLETE,0.9692904793777195,0.3637276736216311,1.4759916212381294,0.0764182606766236,,,
ABC-embedded-hierarchical,paper_s0_s10,11,0.5232513002136816,TrialState.COMPLETE,0.9816811221320247,0.690247073569145,0.42570530085563807,0.9678997593783178,,,
ABC-embedded-hierarchical,paper_s0_s10,12,0.5663456344881147,TrialState.COMPLETE,0.7836296211490166,0.3796042434202234,0.3647950607082075,0.06443681630879428,,,
