seed,model,step,trace_distance_A,final,converged,threshold,seconds
1,AB-embedded_omega1.0,1000,1.4650562540907686e-08,,,,
1,AB-embedded_omega1.0,1000,1.4650562540907686e-08,True,True,0.001,7.6
1,AB-embedded_omega0.5,1,0.9471895694732666,,,,
1,AB-embedded_omega0.5,5,0.24134774506092072,,,,
1,AB-embedded_omega0.5,10,0.05371042340993881,,,,
1,AB-embedded_omega0.5,20,0.0029181032441556454,,,,
1,AB-embedded_omega0.5,50,6.374328904712456e-07,,,,
1,AB-embedded_omega0.5,100,2.5183037877241077e-08,,,,
1,AB-embedded_omega0.5,200,1.701607210691236e-08,,,,
1,AB-embedded_omega0.5,300,1.4358251476664918e-08,,,,
1,AB-embedded_omega0.5,500,2.665319165373603e-08,,,,
1,AB-embedded_omega0.5,750,6.119020845574141e-09,,,,
1,AB-embedded_omega0.5,1000,1.0687395857189586e-08,,,,
1,AB-embedded_omega0.5,1000,1.0687395857189586e-08,True,True,0.001,8.0
1,AB-embedded_omega0.0,1,0.9471898078918457,,,,
1,AB-embedded_omega0.0,5,0.7554219961166382,,,,
1,AB-embedded_omega0.0,10,0.5997514128684998,,,,
1,AB-embedded_omega0.0,20,0.40938425064086914,,,,
1,AB-embedded_omega0.0,50,0.15747661888599396,,,,
1,AB-embedded_omega0.0,100,0.03884393721818924,,,,
1,AB-embedded_omega0.0,200,0.004089061636477709,,,,
1,AB-embedded_omega0.0,300,0.0004389965324662626,,,,
1,AB-embedded_omega0.0,500,5.268102086120052e-06,,,,
1,AB-embedded_omega0.0,750,5.397948399377128e-08,,,,
1,AB-embedded_omega0.0,1000,6.040788491645799e-08,,,,
1,AB-embedded_omega0.0,1000,6.040788491645799e-08,True,True,0.001,2.0
1,ABC-embedded-hierarchical_omegana,1,0.9471896290779114,,,,
1,ABC-embedded-hierarchical_omegana,5,0.2672346830368042,,,,
1,ABC-embedded-hierarchical_omegana,10,0.07126310467720032,,,,
1,ABC-embedded-hierarchical_omegana,20,0.006086165551096201,,,,
1,ABC-embedded-hierarchical_omegana,50,6.2070039348327555e-06,,,,
1,ABC-embedded-hierarchical_omegana,100,3.5878599646821385e-08,,,,
1,ABC-embedded-hierarchical_omegana,200,3.377272150828503e-08,,,,
1,ABC-embedded-hierarchical_omegana,300,1.783774550290218e-08,,,,
1,ABC-embedded-hierarchical_omegana,500,2.523252362607309e-08,,,,
1,ABC-embedded-hierarchical_omegana,750,1.0752428281080029e-08,,,,
1,ABC-embedded-hierarchical_omegana,1000,2.5321989838289483e-08,,,,
1,ABC-embedded-hierarchical_omegana,1000,2.5321989838289483e-08,True,True,0.001,44.5
1,ABC-embedded-tied_omegana,1,0.9471898078918457,,,,
1,ABC-embedded-tied_omegana,5,0.18728961050510406,,,,
1,ABC-embedded-tied_omegana,10,0.028919655829668045,,,,
1,ABC-embedded-tied_omegana,20,0.0006005386239849031,,,,
1,ABC-embedded-tied_omegana,50,2.7043332906373507e-08,,,,
1,ABC-embedded-tied_omegana,100,4.326633629148091e-08,,,,
1,ABC-embedded-tied_omegana,200,5.1203619122475175e-09,,,,
1,ABC-embedded-tied_omegana,300,2.3030647611221866e-08,,,,
1,ABC-embedded-tied_omegana,500,1.7548925868027254e-08,,,,
1,ABC-embedded-tied_omegana,750,1.4303433104601027e-08,,,,
1,ABC-embedded-tied_omegana,1000,8.583887378676991e-09,,,,
1,ABC-embedded-tied_omegana,1000,8.583887378676991e-09,True,True,0.001,45.2
1,ABC-noaux-kraus_omegana,1,0.9755460184039153,,,,
1,ABC-noaux-kraus_omegana,5,0.8209425328897033,,,,
1,ABC-noaux-kraus_omegana,10,0.77868260427295,,,,
1,ABC-noaux-kraus_omegana,20,0.6681355315025372,,,,
1,ABC-noaux-kraus_omegana,50,0.47206666076631393,,,,
1,ABC-noaux-kraus_omegana,100,0.2931152785213385,,,,
1,ABC-noaux-kraus_omegana,200,0.1040362945383448,,,,
1,ABC-noaux-kraus_omegana,300,0.03814098847818169,,,,
1,ABC-noaux-kraus_omegana,500,0.00513394214933189,,,,
1,ABC-noaux-kraus_omegana,750,0.0004169139810486928,,,,
1,ABC-noaux-kraus_omegana,1000,3.337094310060443e-05,,,,
1,ABC-noaux-kraus_omegana,1000,3.337094310060443e-05,True,True,0.001,3.1
