family,metric,task,comparison,n_common,n_positional,n_changed_vs_positional,misaligned_seeds,inconclusive_lt_min,mean_diff_a_minus_b,ci95_lo,ci95_hi,cohen_dz,wins,losses,p_wilcoxon,p_wilcoxon_holm,ci_excludes_zero,significant,mean_a,mean_b,n_a,n_b,seeds_a_only,seeds_b_only,seeds_common
capacity,capacity,p1_0_10,ABC-noaux-kraus vs AB-noaux-kraus,20,20,False,0,False,0.06361699528449419,0.05556763072162854,0.07248534992983355,3.2329256545397933,20,0,1.9073486328125e-06,0.0003643035888671875,True,True,0.967491962956171,0.9038749676716769,20,20,-,-,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
capacity,capacity,p1_0_10,ABC-noaux-tied vs ABC-noaux-hierarchical,20,20,False,0,False,-0.8660199780949821,-0.8780026774796581,-0.8515630747051679,-28.109918021414554,0,20,1.9073486328125e-06,0.0003643035888671875,True,True,0.10147198486118902,0.967491962956171,20,20,-,-,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
capacity,capacity,p1_0_10,ABC-noaux-kraus vs ABC-noaux-shuffled-history,20,20,False,0,False,0.966447602186064,0.9637304335030396,0.9691176994992713,154.01505897191336,20,0,1.9073486328125e-06,0.0003643035888671875,True,True,0.967491962956171,0.0010443607701069368,20,20,-,-,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
capacity,capacity,p1_0_10,AB-embedded vs AB-Markov,20,20,False,0,False,0.2788750632257321,0.24836003026947348,0.3085729093692036,3.956716010245819,20,0,1.9073486328125e-06,0.0003643035888671875,True,True,0.2803747036403388,0.0014996404146067877,20,20,-,-,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
capacity,capacity,p1_0_10,ABC-embedded-hierarchical vs AB-embedded,20,20,False,0,False,-0.19037747316119452,-0.21876818552986033,-0.1626140046708896,-2.9021081527305785,0,20,1.9073486328125e-06,0.0003643035888671875,True,True,0.08999723047914426,0.2803747036403388,20,20,-,-,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
capacity,capacity,p1_0_10,ABC-embedded-hierarchical vs ABC-embedded-tied,20,20,False,0,False,-0.3019099838734092,-0.3254509998714014,-0.27693260144791887,-5.312917986577219,0,20,1.9073486328125e-06,0.0003643035888671875,True,True,0.08999723047914426,0.3919072143525535,20,20,-,-,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
capacity,capacity,p1_0_10,ABC-embedded-hierarchical vs ABC-Markov,20,20,False,0,False,0.08849800143119815,0.07501936148860708,0.10159526670357866,2.8647029388290712,20,0,1.9073486328125e-06,0.0003643035888671875,True,True,0.08999723047914426,0.0014992290479461125,20,20,-,-,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
capacity,capacity,p1_0_10,ABC-embedded-hierarchical vs ABC-embedded-C-off,20,20,False,0,False,0.08851965033481629,0.07471874771083284,0.10179206769561286,2.8130879681452883,20,0,1.9073486328125e-06,0.0003643035888671875,True,True,0.08999723047914426,0.0014775801443279583,20,20,-,-,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
capacity,capacity,p1_0_10,ABC-embedded-hierarchical vs ABC-noaux-hierarchical,20,20,False,0,False,-0.8774947324770267,-0.891455951746746,-0.8640629061166472,-27.098308870038714,0,20,1.9073486328125e-06,0.0003643035888671875,True,True,0.08999723047914426,0.967491962956171,20,20,-,-,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
capacity,capacity,p1_0_10,AB-embedded vs AB-noaux-kraus,20,20,False,0,False,-0.623500264031338,-0.6601885660857066,-0.5864718694978166,-7.223689484213827,0,20,1.9073486328125e-06,0.0003643035888671875,True,True,0.2803747036403388,0.9038749676716769,20,20,-,-,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
capacity,capacity,p1_0_10_30,AB-noaux-kraus vs M0-noaux,20,20,False,0,False,0.0019294605129259964,0.0009428575206385582,0.0031072223753502047,0.7849401133159835,17,3,0.0001678466796875,0.009735107421875,True,True,0.00297885947624238,0.0010493989633163837,20,20,-,-,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
capacity,capacity,p1_0_10_30,ABC-noaux-kraus vs M0-noaux,20,20,False,0,False,0.33481482773186233,0.3046175479191125,0.36335376083325405,4.98276380712432,20,0,1.9073486328125e-06,0.0003643035888671875,True,True,0.33586422669517874,0.0010493989633163837,20,20,-,-,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
