gamma,tau_mem_mean,tau_mem_median,tau_mem_std,n_seeds
0.01,18.0,17.0,1.9578900207451218,12
0.0146,18.0,17.0,1.9578900207451218,12
0.0213,18.0,17.0,1.9578900207451218,12
0.0311,17.666666666666668,17.0,1.7480147469502525,12
0.0453,17.333333333333332,17.0,1.4337208778404378,12
0.0662,17.25,17.0,1.479019945774904,12
0.0965,16.75,16.5,1.4215601757693317,12
0.1409,15.916666666666666,16.0,0.8620067027323834,12
0.2056,15.166666666666666,15.5,1.1426091000668408,12
0.3,14.0,13.5,1.2909944487358056,12
