seed,topology,d_B,task,tau,capacity
2,parallel,64,stm_linear,5,0.9769510216334456
2,parallel,64,stm_linear,6,0.9742540807014739
2,parallel,64,stm_linear,7,0.9234139136884201
2,parallel,64,stm_linear,8,0.9297219275714302
2,parallel,64,stm_linear,9,0.9264225338100854
2,parallel,64,stm_linear,10,0.8711952685477321
2,parallel,64,stm_linear,11,0.8033723011002415
2,parallel,64,stm_linear,12,0.7448448423968015
2,parallel,64,stm_linear,13,0.7388838020184764
2,parallel,64,stm_linear,14,0.6470683408560272
2,parallel,64,stm_linear,15,0.6175380282219033
2,parallel,64,stm_linear,16,0.41859682234887186
2,parallel,64,stm_linear,17,0.4042769096803453
2,parallel,64,stm_linear,18,0.26289834250413413
2,parallel,64,stm_linear,19,0.09031023328609591
2,parallel,64,stm_linear,20,0.23819322176282015
2,parallel,64,stm_linear,21,0.07454710326573072
2,parallel,64,stm_linear,22,0.04121955708514894
2,parallel,64,stm_linear,23,0.017470122558943736
2,parallel,64,stm_linear,24,0.028351565670069447
2,parallel,64,stm_linear,25,0.009171375886793735
2,parallel,64,stm_linear,26,0.0054476987613553875
2,parallel,64,stm_linear,27,0.007660632937556474
2,parallel,64,stm_linear,28,0.01187622033587652
2,parallel,64,stm_linear,29,7.236440809503448e-05
2,parallel,64,stm_linear,30,0.003312356488242791
2,parallel,64,stm_linear,31,0.0016874833965301655
2,parallel,64,stm_linear,32,0.002650535388102433
2,parallel,64,stm_linear,33,0.0003880050260588513
2,parallel,64,stm_linear,34,0.001449706287015718
2,parallel,64,stm_linear,35,1.1961039979192311e-05
2,parallel,64,stm_linear,36,0.0002468342073813779
2,parallel,64,stm_linear,37,3.083685725323633e-05
2,parallel,64,stm_linear,38,0.00014473919396015426
2,parallel,64,stm_linear,39,0.0007396898932923413
2,parallel,64,stm_linear,40,0.0007802489929822868
2,parallel,64,stm_linear,41,0.001674832955249324
2,parallel,64,stm_linear,42,0.0007302173138172968
2,parallel,64,stm_linear,43,0.00016216593999226987
2,parallel,64,stm_linear,44,1.745349476407193e-05
2,parallel,64,stm_linear,45,0.00026712683742574595
2,parallel,64,stm_linear,46,3.716020093923423e-05
2,parallel,64,stm_linear,47,0.0005245582224875019
2,parallel,64,stm_linear,48,0.00014150665428517775
2,parallel,64,stm_linear,49,1.2142273805986656e-07
2,parallel,64,stm_linear,50,0.0005130935445733367
2,parallel,64,s10_x_s20,-1,0.4842342129950513
3,parallel,64,stm_linear,0,0.9544953633596136
3,parallel,64,stm_linear,1,0.9980313237698301
3,parallel,64,stm_linear,2,0.9980627767222668
3,parallel,64,stm_linear,3,0.9896186234214243
3,parallel,64,stm_linear,4,0.9748442951126691
3,parallel,64,stm_linear,5,0.9810826421028811
3,parallel,64,stm_linear,6,0.971076111249986
3,parallel,64,stm_linear,7,0.9173231887985447
3,parallel,64,stm_linear,8,0.916086072883007
3,parallel,64,stm_linear,9,0.9028865803274911
3,parallel,64,stm_linear,10,0.8868332462953781
3,parallel,64,stm_linear,11,0.8096971766900465
3,parallel,64,stm_linear,12,0.7940616083179176
3,parallel,64,stm_linear,13,0.721239689439713
3,parallel,64,stm_linear,14,0.544182169028443
3,parallel,64,stm_linear,15,0.5368672780094764
3,parallel,64,stm_linear,16,0.3875769514937048
3,parallel,64,stm_linear,17,0.39051521301439523
3,parallel,64,stm_linear,18,0.2767490430256854
3,parallel,64,stm_linear,19,0.15410178721025058
3,parallel,64,stm_linear,20,0.14576081074108072
3,parallel,64,stm_linear,21,0.08070910398210468
3,parallel,64,stm_linear,22,0.08841561397138985
3,parallel,64,stm_linear,23,0.028491941137607755
3,parallel,64,stm_linear,24,0.010888446734087768
3,parallel,64,stm_linear,25,0.011103506411509648
3,parallel,64,stm_linear,26,0.003232308805691625
3,parallel,64,stm_linear,27,0.0029142789175530892
3,parallel,64,stm_linear,28,0.0019352187403583662
3,parallel,64,stm_linear,29,0.005992956872896079
3,parallel,64,stm_linear,30,0.0022471376108792584
3,parallel,64,stm_linear,31,0.011165737476949782
3,parallel,64,stm_linear,32,0.00015071683430812623
3,parallel,64,stm_linear,33,0.001911445526381184
3,parallel,64,stm_linear,34,7.414933872831794e-06
3,parallel,64,stm_linear,35,0.0008382628628793552
3,parallel,64,stm_linear,36,0.00010065834770657589
3,parallel,64,stm_linear,37,0.0015864363640301525
3,parallel,64,stm_linear,38,0.0007225487045169884
3,parallel,64,stm_linear,39,2.4020103298910997e-05
3,parallel,64,stm_linear,40,0.0019084548819210433
3,parallel,64,stm_linear,41,2.2776954855788867e-06
3,parallel,64,stm_linear,42,6.32319086252251e-07
3,parallel,64,stm_linear,43,1.6006669411527836e-05
3,parallel,64,stm_linear,44,0.001997998472329992
3,parallel,64,stm_linear,45,0.0002000370488561812
3,parallel,64,stm_linear,46,4.176485880584138e-05
3,parallel,64,stm_linear,47,0.005660016643683668
3,parallel,64,stm_linear,48,3.1612019131144917e-06
3,parallel,64,stm_linear,49,8.142965951445754e-05
3,parallel,64,stm_linear,50,2.2594583309865837e-05
3,parallel,64,s10_x_s20,-1,0.44399695204235345
4,parallel,64,stm_linear,0,0.9648472333540813
4,parallel,64,stm_linear,1,0.9984921761846169
4,parallel,64,stm_linear,2,0.998332705762577
4,parallel,64,stm_linear,3,0.9929886886472965
4,parallel,64,stm_linear,4,0.9827187123605947
4,parallel,64,stm_linear,5,0.9829659799530879
4,parallel,64,stm_linear,6,0.9760225134585017
4,parallel,64,stm_linear,7,0.944733963748962
4,parallel,64,stm_linear,8,0.9412810369300808
4,parallel,64,stm_linear,9,0.8934752749321392
4,parallel,64,stm_linear,10,0.8851393381899753
4,parallel,64,stm_linear,11,0.8133873770790918
4,parallel,64,stm_linear,12,0.7658979054307213
4,parallel,64,stm_linear,13,0.6815319323148329
4,parallel,64,stm_linear,14,0.5527614456416113
4,parallel,64,stm_linear,15,0.4905083485938926
4,parallel,64,stm_linear,16,0.2654895117678737
4,parallel,64,stm_linear,17,0.33169987163408376
4,parallel,64,stm_linear,18,0.12694503139410412
4,parallel,64,stm_linear,19,0.12841997063570107
4,parallel,64,stm_linear,20,0.11092807849848008
4,parallel,64,stm_linear,21,0.024865211898269252
4,parallel,64,stm_linear,22,0.035170650184173036
4,parallel,64,stm_linear,23,0.013856941342645885
4,parallel,64,stm_linear,24,0.01112315234999882
4,parallel,64,stm_linear,25,0.015260599473176683
4,parallel,64,stm_linear,26,0.001804558807011209
4,parallel,64,stm_linear,27,0.0003843528314494709
4,parallel,64,stm_linear,28,0.0009746979016016089
4,parallel,64,stm_linear,29,0.0001259245357000753
4,parallel,64,stm_linear,30,0.0007516610551668447
4,parallel,64,stm_linear,31,2.014818966555836e-05
4,parallel,64,stm_linear,32,0.0022652639875131394
4,parallel,64,stm_linear,33,0.0009879476653915497
4,parallel,64,stm_linear,34,0.0006775231364004322
4,parallel,64,stm_linear,35,0.0002593155534632263
4,parallel,64,stm_linear,36,1.6617688731871242e-06
4,parallel,64,stm_linear,37,0.0002419501230783015
4,parallel,64,stm_linear,38,7.204075906235957e-05
4,parallel,64,stm_linear,39,1.4519310758105883e-06
4,parallel,64,stm_linear,40,4.068673783873176e-06
4,parallel,64,stm_linear,41,0.0001131830683992064
4,parallel,64,stm_linear,42,2.0178951706970402e-05
4,parallel,64,stm_linear,43,0.00039629144546332584
4,parallel,64,stm_linear,44,0.0016195300182833662
4,parallel,64,stm_linear,45,1.7991694556751707e-07
4,parallel,64,stm_linear,46,0.0003063115684823141
4,parallel,64,stm_linear,47,0.00016922778178435338
4,parallel,64,stm_linear,48,0.0008462185170402546
4,parallel,64,stm_linear,49,4.868471103517807e-06
4,parallel,64,stm_linear,50,0.0004165755902600047
4,parallel,64,s10_x_s20,-1,0.4122703504340373
5,parallel,64,stm_linear,0,0.9349881479852853
5,parallel,64,stm_linear,1,0.9978548224832683
5,parallel,64,stm_linear,2,0.9974883850554284
5,parallel,64,stm_linear,3,0.9907713680062834
5,parallel,64,stm_linear,4,0.9795333544958548
5,parallel,64,stm_linear,5,0.9708089966918072
5,parallel,64,stm_linear,6,0.973369810914372
5,parallel,64,stm_linear,7,0.9220169163618983
5,parallel,64,stm_linear,8,0.9225352742603995
5,parallel,64,stm_linear,9,0.8764431887005594
5,parallel,64,stm_linear,10,0.8831309409297209
5,parallel,64,stm_linear,11,0.8451699248607729
5,parallel,64,stm_linear,12,0.6217487391170409
5,parallel,64,stm_linear,13,0.6837870934408229
5,parallel,64,stm_linear,14,0.6233957968779751
5,parallel,64,stm_linear,15,0.5063431853606878
5,parallel,64,stm_linear,16,0.3167093074595857
5,parallel,64,stm_linear,17,0.36112068883348336
5,parallel,64,stm_linear,18,0.28802613618584216
5,parallel,64,stm_linear,19,0.14700080978947724
5,parallel,64,stm_linear,20,0.13049031527496532
5,parallel,64,stm_linear,21,0.06598663071524158
5,parallel,64,stm_linear,22,0.08645892391008603
5,parallel,64,stm_linear,23,0.05730026210723851
5,parallel,64,stm_linear,24,0.03726109633168007
5,parallel,64,stm_linear,25,0.026952679977654007
5,parallel,64,stm_linear,26,0.010993606418280314
5,parallel,64,stm_linear,27,0.006075040545762762
5,parallel,64,stm_linear,28,0.008069341950623412
5,parallel,64,stm_linear,29,0.011667828795718108
5,parallel,64,stm_linear,30,0.0054614551391659345
5,parallel,64,stm_linear,31,0.004336209484638977
5,parallel,64,stm_linear,32,0.0004016511090820348
5,parallel,64,stm_linear,33,0.011139987402271064
5,parallel,64,stm_linear,34,0.0005408693797777654
5,parallel,64,stm_linear,35,0.0004930981472460213
5,parallel,64,stm_linear,36,0.001538894416566756
5,parallel,64,stm_linear,37,0.0002409319847091406
