trial,value,omega,eta_ab
0,0.21435981037435353,0.3745401188473625,1.4483071096990625
1,0.016457312316483758,0.7319939418114051,0.9305046995616021
2,0.27091181528967534,0.15601864044243652,0.2794361675106186
3,0.5024173342512248,0.05808361216819946,1.3239686935631354
4,0.0615447835655753,0.6011150117432088,1.0914305465266174
5,0.4740832439789504,0.020584494295802447,1.4765398478820424
6,0.21752810615430623,0.8324426408004217,0.36230758402050356
7,0.27476181833960156,0.18182496720710062,0.31975067941004887
8,0.22399032328727309,0.3042422429595377,0.8218098321066927
9,0.18394341830318892,0.43194501864211576,0.478338749658916
10,0.17955895902925792,0.9522541012238168,0.058820634662532845
11,0.4605660023430077,0.007547319316293044,1.4664434609257273
12,0.4230043935202609,0.00922651353140528,1.2298726194747474
13,0.2740404046551029,0.19920073606111174,1.229808455480034
14,0.45066736916476746,0.09696877974827961,1.5172201550751743
15,0.24029568520245798,0.2807609542397041,1.307889875083705
16,0.1290546936895124,0.46234458642164544,0.9947169093411833
17,0.39547896050444675,0.06782026776262096,0.7089805074312295
18,0.3160017469681112,0.22255983621842657,1.3482382357873588
19,0.4107227593762855,0.10012496414345895,1.12570639408449
20,0.15044042935046845,0.5300170413860255,1.3434021437446055
21,0.4779065674225702,0.015723363996245632,1.4643914002351475
22,0.4495433245767808,0.01220029559347447,1.5141184509933683
23,0.41076689614735085,0.11063881154667321,1.1575320990155034
24,0.2905522590950289,0.25494901919994295,1.3653335638873882
25,0.3731225728474723,0.12397641528542076,1.2256299986882653
26,0.49043233783824663,0.06221522573913102,1.4056627024760422
27,0.19281880251126593,0.3122349359221164,0.9981836882736295
28,0.3880134599385447,0.15752017460205586,1.3830961395816175
29,0.18912057264165888,0.3568553490931025,1.282371123870402
30,0.49616989190586513,0.05911865047021566,1.4255008281568298
31,0.48519456399807104,0.07234028289348726,1.4175214686869237
